title,fileTitle,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y,isObject3D
Siamese Cat,siameseCat,CC BY 4.0,Gwinna,#threed-link,1,1,1,13.26,42.06,81.27,false,0,0,false
Bulldog,bulldog,CC BY 4.0,Priide,#threed-link,1,1,1,38.75,47.39,64.52,false,0,0,false
Horse 1,horse,CC BY 4.0,b2przemo,#threed-link,1,1,1,58.74,192.96,229.22,false,0,0,false
Horse 2,horse2,CC0,ThreeD Garden,#threed-link,1,1,1,58.27,199.87,261.61,false,0,0,false
Lucky Bamboo,luckyBamboo,CC BY 4.0,renderbob,#threed-link,1,1,1,15.49,34.03,14.89,false,0,0,false
Little Plant,littlePlant,CC0,ThreeD Garden,#threed-link,1,1,1,26.6,23.19,26.59,false,0,0,false
Flower Box,flowerBox,CC0,ThreeD Garden,#threed-link,1,1,1,54.99,18.79,16.19,false,0,0,false
Ford Focus,fordFocus,CC BY 4.0,Ruff,#threed-link,1,1,1,204.47,155.07,435.81,false,0,0,false
Soccer Ball,ballonFoot,CC BY 4.0,DooL,#threed-link,1,1,1,21.99,21.97,21.99,false,0,0,false
Drum Kit,drums,Free Art License 1.3,Sophie,#threed-link,1,1,1,140.86,115.6,92.83,false,0,0,false
Guitar Electric,electricGuitar,CC0,ThreeD Garden,#threed-link,1,1,1,34.48,110.02,32.14,false,0,0,false
Piano 1,piano,CC BY 4.0,LVlittering,#threed-link,1,1,1,141.41,120.91,54.26,false,0,0,false
Piano Grand,pianoAQueue,CC0,ThreeD Garden,#threed-link,1,1,1,131.58,103.1,147.85,false,0,0,false
Speaker 1,speaker,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,22,91,29.62,false,0,0,false
Speaker 2,speaker2,CC0,ThreeD Garden,#threed-link,1,1,1,22.09,35.37,25.44,false,0,0,false
Speaker 3,speaker3,CC0,ThreeD Garden,#threed-link,1,1,1,22.09,55.13,25.44,false,0,0,false
Fotel,fotel,CC BY 4.0,tripleJ,#threed-link,1,1,1,73.48,69.7,61.07,false,0,0,false
Table Fusball,table_football,CC0,ThreeD Garden,#threed-link,1,1,1,150.27,100.9,124.61,false,0,0,false
Table Tennis,table_tennis,CC BY 4.0,bheema,#threed-link,1,1,1,274,72.46,191.22,false,0,0,false
Pool Lounge,poolLounge,CC BY 4.0,LarryStephenRobb,#threed-link,1,1,1,87.96,88.48,200,false,0,0,false
Stove Large,largeStove,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,103.91,85.2,72.33,false,0,0,false
Desk Simple,simpleDesk,CC BY 4.0,SirOccor,#threed-link,1,1,1,140.06,72,81.11,false,0,0,false
Lamp,lamp,CC BY 4.0,bulgakov,#threed-link,1,1,1,30.49,40.94,30.49,false,0,0,false
Sofa 2,sofa2,CC BY 4.0,Derte21,#threed-link,1,1,1,177.05,77.99,86.12,false,0,0,false
Plant Indoor Medium,mediumIndoorPlant,CC BY 4.0,betomo16,#threed-link,1,1,1,72.57,67.28,76.45,false,0,0,false
Microwave,microwave,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,40.16,24.75,35.77,false,0,0,false
