title,license,author,threedLink,scale/x,scale/y,scale/z,size/x,size/y,size/z,useMask,pivot/x,pivot/y
siameseCat,CC BY 4.0,Gwinna,#threed-link,1,1,1,13.26,42.06,81.27,,,
bulldog,CC BY 4.0,Priide,#threed-link,1,1,1,38.75,47.39,64.52,,,
horse,CC BY 4.0,b2przemo,#threed-link,1,1,1,58.74,192.96,229.22,,,
horse2,CC0,ThreeD Garden,#threed-link,1,1,1,58.27,199.87,261.61,,,
luckyBamboo,CC BY 4.0,renderbob,#threed-link,1,1,1,15.49,34.03,14.89,,,
littlePlant,CC0,ThreeD Garden,#threed-link,1,1,1,26.6,23.19,26.59,,,
flowerBox,CC0,ThreeD Garden,#threed-link,1,1,1,54.99,18.79,16.19,,,
fordFocus,CC BY 4.0,Ruff,#threed-link,1,1,1,204.47,155.07,435.81,,,
ballonFoot,CC BY 4.0,DooL,#threed-link,1,1,1,21.99,21.97,21.99,,,
drums,Free Art License 1.3,Sophie,#threed-link,1,1,1,140.86,115.6,92.83,,,
electricGuitar,CC0,ThreeD Garden,#threed-link,1,1,1,34.48,110.02,32.14,,,
piano,CC BY 4.0,LVlittering,#threed-link,1,1,1,141.41,120.91,54.26,,,
pianoAQueue,CC0,ThreeD Garden,#threed-link,1,1,1,131.58,103.1,147.85,,,
speaker,Free Art License 1.3,Gaël Bettinelli,#threed-link,1,1,1,22,91,29.62,,,
speaker2,CC0,ThreeD Garden,#threed-link,1,1,1,22.09,35.37,25.44,,,
speaker3,CC0,ThreeD Garden,#threed-link,1,1,1,22.09,55.13,25.44,,,
fotel,CC BY 4.0,tripleJ,#threed-link,1,1,1,73.48,69.7,61.07,,,
table_football,CC0,ThreeD Garden,#threed-link,1,1,1,150.27,100.9,124.61,,,
largeStove,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,103.91,85.2,72.33,,,
simpleDesk,CC BY 4.0,SirOccor,#threed-link,1,1,1,140.06,72,81.11,,,
lamp,CC BY 4.0,bulgakov,#threed-link,1,1,1,30.49,40.94,30.49,,,
sofa2,CC BY 4.0,Derte21,#threed-link,1,1,1,177.05,77.99,86.12,,,
mediumIndoorPlant,CC BY 4.0,betomo16,#threed-link,1,1,1,72.57,67.28,76.45,,,
microwave,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,40.16,24.75,35.77,,,
officeTable,CC BY 4.0,Nmn9,#threed-link,1,1,1,189.23,75.12,83.44,,,
poolLounge,CC BY 4.0,LarryStephenRobb,#threed-link,1,1,1,87.96,88.48,200,,,
radio,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,30.65,26.31,8.44,,,
rubix2,CC BY 4.0,farcgs,#threed-link,1,1,1,5.59,5.59,5.59,,,
spatifilum,CC BY 4.0,heraSK,#threed-link,1,1,1,79.76,87.46,74.9,,,
spider_plant,CC BY 4.0,Nmn9,#threed-link,1,1,1,66.62,34.24,63.62,,,
succulentPlant,CC BY 4.0,Nmn9,#threed-link,1,1,1,13.69,11.36,12.89,,,
birchTreeWithLeaves,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,196.13,186.96,200.27,false,,
tree1WithLeaves,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,186.1,226.93,242.08,false,,
willowTreeNoLeaves,CC BY 4.0,Sean Bradley,#threed-link,1,1,1,594.45,950.09,635.88,false,,
table,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,144.34,72.42,93.41,,,
table_tennis,CC BY 4.0,bheema,#threed-link,1,1,1,274,72.46,191.22,,,
thermometer,CC BY 4.0,DennisH2010,#threed-link,1,1,1,7.66,17.08,5.92,,,
laptop,CC BY 4.0,Mayollo,#threed-link,1,1,1,33.89,26.6,25.32,,,
sef-kasa,CC BY 4.0,bocko,#threed-link,1,1,1,50.5,50.5,54.71,,,
toilets_unit_jay_hardy,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,41.25,76.57,54.38,,,
towel,CC BY 4.0,Jay-Artist,#threed-link,1,1,1,14.53,45.4,13.42,,,
toyTrain,CC BY 4.0,RegusTtef,#threed-link,1,1,1,30.14,9.62,12.35,,,
treadmill,CC BY 4.0,muhtesemozcinar,#threed-link,1,1,1,88.46,152.58,195.81,,,
